NAME,POS,3PM,REB,AST,STL,BLK,TO,PTS,,,,,
Kent Bazemore,,1.6,4.2,2.1,1.8,1,2.5,14.5,,,,,
JaVale McGee,,0.1,7.5,1.3,0.9,3.4,1.8,14.4,,,,,
Nemanja Bjelica,,2.1,5.8,2.8,1.2,0.8,1.3,14.4,,,,,
Jabari Parker,,1,6.3,1.8,0.6,0.5,2.6,14.4,,,,,
Dwyane Wade,,1.7,4,2.9,0.4,0.4,2.7,14.3,,,,,
Jae Crowder,,2.2,5.4,1.7,0.7,0.4,0.5,14.2,,,,,
Spencer Dinwiddie,,2.3,2.4,3.9,0.5,0.5,2,14.1,,,,,
Rodney McGruder,,2.3,5.7,3.7,0.9,0.3,1.4,14,,,,,
Steven Adams,,0,10.3,1.3,1.5,1.3,1.5,14,,,,,
Ben Simmons,,0,9.3,7.5,1.7,0.5,3.5,13.9,,,,,
Domantas Sabonis,,0.1,8.7,2.6,0.6,0.6,2,13.9,,,,,
E'Twaun Moore,,1.6,2,1.9,0.7,0.4,1.3,13.8,,,,,
Marc Gasol,,1.6,8.6,4.2,2,0.6,1.4,13.8,,,,,
Jonas Valanciunas,,0.5,7.2,1.1,0.7,1.1,1,13.6,,,,,
T.J. Warren,,1.3,3.6,1.3,0.6,0.6,1.3,13.6,,,,,
Bojan Bogdanovic,,1.9,3.5,0.9,0.6,0,1.6,13.5,,,,,
Joe Harris,,2.8,3.3,2.5,0.5,0.2,1.5,13.4,,,,,
Malik Monk,,2.3,1.5,2.6,0.5,0.4,1.5,13.4,,,,,
Joe Ingles,,2.5,4.5,4,1.6,0.2,2.8,13.3,,,,,
Rudy Gay,,1.1,7.9,2,1.1,0.5,2.1,13.3,,,,,
Damyean Dotson,,1.9,6,1.1,0.9,0.1,0.8,13.2,,,,,
Garrett Temple,,2,3.6,1.2,1,0.3,1.1,13.2,,,,,
Kelly Oubre Jr.,,1.5,4.7,0.6,0.5,0.7,1.5,13.2,,,,,
Marvin Bagley III,,0.6,6.8,1.1,0.7,1.1,2.2,12.8,,,,,
Jeff Teague,,1,2.4,6.9,0.9,0.1,1.9,12.7,,,,,
Eric Bledsoe,,1.4,4.2,6.3,0.7,0.8,1.9,12.7,,,,,
Paul Millsap,,0.7,7.5,1.4,1.1,1.2,1.6,12.7,,,,,
Bryn Forbes,,1.9,1.6,2.4,1.2,0,1.3,12.7,,,,,
Dwight Howard,,0,8,1,1,0.7,0.7,12.7,,,,,
George Hill,,1.2,1.9,3,1,0.1,1.6,12.6,,,,,
Cedi Osman,,1.7,5.4,2.8,0.8,0.3,3.1,12.5,,,,,
Al Horford,,1.4,6.2,4,0.7,1.2,1.6,12.4,,,,,
Malcolm Brogdon,,1.4,3.8,3.6,0.4,0.2,1.7,12.4,,,,,
Rodney Hood,,0.8,2.6,2.1,1,0.1,0.7,12.4,,,,,
Hassan Whiteside,,0.1,14.6,0.1,0.4,2.8,1.9,12.4,,,,,
Terrence Ross,,2,2.4,2.1,1.1,0.5,1.1,12.3,,,,,
DeAndre Jordan,,0,14.1,2.5,0.6,1.4,2.4,12.2,,,,,
Montrezl Harrell,,0,6,1.3,1,1.7,1.6,12.1,,,,,
Jeremy Lamb,,1.3,4.5,1.5,1.1,0.5,0.7,12,,,,,
Shelvin Mack,,1.3,2.2,3.8,1.1,0.1,1.2,12,,,,,
Antonio Blakeney,,1.5,2.2,0.5,0.3,0.3,0.5,11.9,,,,,
Brook Lopez,,2.5,3,1,0.2,1.7,0.9,11.9,,,,,
Marco Belinelli,,1.4,2.3,1.6,0.8,0.1,0.9,11.9,,,,,
Rajon Rondo,,1.1,4.6,6.6,1.3,0,2.6,11.9,,,,,
Myles Turner,,0.2,4.9,1.4,0.4,2.5,1.6,11.7,,,,,
Pascal Siakam,,0.3,7.4,2.2,1.2,0.5,1.6,11.7,,,,,
Elfrid Payton,,0.6,6,6.4,0.8,0.2,2.2,11.6,,,,,
Allonzo Trier,,0.7,2.6,1.1,0.4,0.4,1.8,11.5,,,,,
Justin Holiday,,2.9,3.8,2.5,1.5,0.4,0.5,11.5,,,,,
Robert Covington,,2.5,5.5,1.1,2,1.5,1.9,11.5,,,,,
Jaylen Brown,,1.2,4.4,1.4,0.6,0.6,1.2,11.4,,,,,
Otto Porter Jr.,,1.6,5,1.7,1.6,0.8,0.7,11.3,,,,,
Tyreke Evans,,1.5,2.4,2.7,1,0.6,1.5,11.3,,,,,
Jarrett Allen,,0.2,7.8,1.8,0.5,1.8,1.4,11.3,,,,,
Jaren Jackson Jr.,,0.3,4.6,1.4,0.9,1.4,1.3,11.2,,,,,
Josh Hart,,2,3.9,1.3,1.8,0.5,1.1,11.2,,,,,
Markieff Morris,,1.3,4.7,2.3,0.6,1,1.3,11.1,,,,,
Wendell Carter Jr.,,0.4,7.6,2.7,0.7,1.9,1.6,11.1,,,,,
Jerami Grant,,0.8,4.9,1.6,1.1,1.2,1,11,,,,,
Derrick Favors,,0.2,7.3,0.6,0.7,1.3,1.3,10.9,,,,,
Taj Gibson,,0.4,6.6,1.3,1.1,1,1.1,10.7,,,,,
Alex Len,,0.6,5.4,1.4,0.5,1.3,1.8,10.7,,,,,
Zach Collins,,0.9,3.8,1.1,0.4,1.5,1.6,10.6,,,,,
Fred VanVleet,,1.1,2.7,5,0.4,0.1,2,10.6,,,,,
Bobby Portis,,0.8,10,2,0.5,1,1.3,10.5,,,,,
Collin Sexton,,0.3,2.3,2.2,0.5,0.1,2.1,10.5,,,,,
Trevor Ariza,,1.9,5.6,3.5,0.8,0.2,1.9,10.5,,,,,
Danny Green,,2.7,4.1,1.5,1.2,1.1,0.8,10.5,,,,,
Nicolas Batum,,1.8,6.4,4.1,1.1,0.6,2.3,10.5,,,,,
Ish Smith,,1.4,2.2,3.3,0.7,0.3,1.4,10.4,,,,,
Ricky Rubio,,1.2,2.8,7.6,1.4,0.2,3.3,10.4,,,,,
Evan Turner,,0.4,5.5,4.1,0.9,0.3,2,10.4,,,,,
Gordon Hayward,,1.2,5.8,2.2,0.9,0.3,1.3,10.1,,,,,
Tony Parker,,0.3,1.5,4.8,0.2,0.1,1.4,10.1,,,,,
Isaiah Canaan,,1.4,3,3,0.6,0,2,10,,,,,
Reggie Bullock,,1.2,2.3,2,0.2,0.3,1,10,,,,,
Trey Lyles,,0.6,5.1,2,0.8,0.5,2,10,,,,,
Thaddeus Young,,0.3,5.9,1.6,1.4,0.5,0.9,9.9,,,,,
Dario Saric,,1.2,6.4,2,0.4,0.2,1.7,9.8,,,,,
D.J. Augustin,,1.4,2.5,4.7,0.5,0,1.1,9.8,,,,,
Lance Stephenson,,1,3.7,2.3,0.9,0,1.5,9.7,,,,,
Josh Okogie,,0.9,4.6,1.3,1.2,0.4,1.3,9.7,,,,,
Patty Mills,,1.9,3.2,2.1,0.4,0.2,1.2,9.7,,,,,
Mario Hezonja,,1.1,3.6,1.3,0.8,0.1,1.4,9.6,,,,,
Justise Winslow,,0.8,5.8,4.2,2,0.8,1.8,9.6,,,,,
Lonzo Ball,,1.9,4.8,4.3,1.1,0,1.5,9.6,,,,,
Trey Burke,,0.9,2.1,3.4,0.5,0,1.2,9.5,,,,,
Darren Collison,,0.5,2.1,4.4,1.5,0,1.5,9.5,,,,,
Ersan Ilyasova,,1.2,6.6,1.3,0.8,0.3,0.7,9.4,,,,,
Jeff Green,,0.4,4.8,1.1,0.4,0.7,1.5,9.4,,,,,
Tyler Johnson,,1,2.4,2.1,1.1,0.3,1.2,9.3,,,,,
Markelle Fultz,,0.4,4.1,3.5,1.1,0.2,1.4,9.3,,,,,
Rondae Hollis-Jefferson,,0,5.4,1.5,0.6,0.5,0.8,9.3,,,,,
Dorian Finney-Smith,,1.6,3.8,0.8,0.9,0.7,1.1,9.2,,,,,
Iman Shumpert,,1.9,3.5,1.6,0.8,0.5,0.8,9.1,,,,,
Boban Marjanovic,,0,5.9,0.7,0.3,1,1.3,9.1,,,,,
Cameron Payne,,1.1,2.3,3.5,0.7,0.3,1.5,9.1,,,,,
Dwight Powell,,0.3,3.8,1,0.8,0.5,1,9,,,,,
Kelly Olynyk,,1.2,3,2.3,0.7,0.6,1.1,9,,,,,
Kris Dunn,,1,4,7,0,0,4,9,,,,,
Tristan Thompson,,0,9.5,2.1,0.7,0.4,1.5,9,,,,,
Jeremy Lin,,0.6,1.7,2.3,0.6,0.1,1.8,8.9,,,,,
Alec Burks,,1,1.2,1.3,0.3,0.3,0.5,8.7,,,,,
Troy Williams,,2,3,0.7,0.7,0.7,0,8.7,,,,,
Michael Kidd-Gilchrist,,0.2,5.9,1.5,0.3,1.4,0.7,8.6,,,,,
Dante Exum,,0.6,1.9,2.3,0.2,0.2,1,8.6,,,,,
Dewayne Dedmon,,0.6,6.3,0.4,0.3,1.9,0.6,8.6,,,,,
Justin Jackson,,1,3.2,1.9,0.6,0.2,0.4,8.4,,,,,
Cody Zeller,,0.1,5.8,1.7,0.5,0.6,1.4,8.4,,,,,
James Ennis III,,2,2.2,0.8,1,0.3,0.7,8.3,,,,,
Nik Stauskas,,1.5,2.5,2.1,0.4,0.1,0.9,8.3,,,,,
PJ Tucker,,2.1,5.7,1.3,1.9,0.7,0.6,8.2,,,,,
DeAndre' Bembry,,1,5.3,2.6,1.5,0.5,2,8.2,,,,,
Larry Nance Jr.,,0,5.1,2.9,1.3,0.1,1.1,8.1,,,,,
Miles Bridges,,0.9,3.4,1.1,0.7,0.3,0.7,8.1,,,,,
Al-Farouq Aminu,,1,8.7,0.5,0.9,0.4,0.6,8,,,,,
Langston Galloway,,1,2.6,1,0.5,0.1,0.5,8,,,,,
Shai Gilgeous-Alexander,,0.3,2.9,3.3,0.9,0.5,1.9,8,,,,,
Vince Carter,,1.6,2.3,1.1,0.8,0.5,0.8,7.9,,,,,
Jonathon Simmons,,0.5,2.8,2.5,0.4,0.5,1.4,7.8,,,,,
OG Anunoby,,1.3,2.5,0.6,0.6,0.3,0.6,7.8,,,,,
Marvin Williams,,1,4.8,0.9,0.5,1.2,0.6,7.7,,,,,
Donte DiVincenzo,,1.2,3.7,1.6,0.4,0.2,1,7.7,,,,,
Alex Abrines,,1.7,1.6,1,0.8,0.3,0.4,7.7,,,,,
Dillon Brooks,,0.8,1.8,1,0.9,0.3,0.7,7.7,,,,,
Shaquille Harrison,,0.7,2.7,2.7,0.7,0,1,7.7,,,,,
Draymond Green,,0.5,7.2,7.9,1.8,0.9,3.1,7.6,,,,,
Monte Morris,,0.8,2.2,3.5,1.1,0,0.5,7.6,,,,,
Gerald Green,,1.4,3,0.7,0.3,0.1,0.7,7.6,,,,,
Frank Ntilikina,,1.1,1.8,3.8,1.1,0.5,1.7,7.5,,,,,
Noah Vonleh,,0.3,7.8,1.6,0.6,0.9,1.4,7.5,,,,,
JaMychal Green,,0.5,6,2,2,0,2,7.5,,,,,
Kevin Knox,,1,1.5,0,0.8,0.3,0.8,7.5,,,,,
Shabazz Napier,,1.5,1.3,2.1,0.6,0.1,0.9,7.5,,,,,
Terry Rozier,,1.3,4.4,2.1,0.8,0.5,0.6,7.5,,,,,
Tony Snell,,1.5,1.8,0.7,0.3,0.2,0.3,7.5,,,,,
Landry Shamet,,1.6,1.2,0.8,0.5,0.1,0.5,7.5,,,,,
J.J. Barea,,0.7,2.1,6.5,0.6,0,1.4,7.4,,,,,
Josh Jackson,,0.6,1.8,2,0.5,0.5,3.1,7.4,,,,,
Mike Muscala,,1.3,3.8,1.3,0.1,0.5,1.5,7.4,,,,,
Frank Mason,,0.7,1.7,4.1,0.8,0.1,0.8,7.3,,,,,
Patrick Patterson,,1.4,3.6,0.2,0.3,0.4,0.3,7.3,,,,,
Mason Plumlee,,0.1,5,1.4,1.2,0.5,1.6,7.3,,,,,
Bam Adebayo,,0,6.9,1.1,0.8,0.6,1.3,7.2,,,,,
Willy Hernangomez,,0.4,5.8,0.9,0.6,0.5,1,7.2,,,,,
Jonas Jerebko,,1.1,4.5,1.6,0.5,0.2,0.7,7.2,,,,,
Jonathan Isaac,,0.6,5.4,0.5,0.8,1,0.8,7.1,,,,,
Avery Bradley,,0.8,1.9,1.6,0.7,0.3,1.6,7.1,,,,,
Wayne Selden,,1.2,1.1,1,0.4,0.1,1,7.1,,,,,
Mikal Bridges,,1.2,1.6,0.9,1.1,0.1,0.7,7.1,,,,,
Derrick Jones Jr.,,0.5,3,0.7,0.3,0.5,1.2,7,,,,,
Henry Ellenson,,1,3,0,0,0,0,7,,,,,
Maxi Kleber,,1.1,4,0.4,0.3,1.3,0.7,7,,,,,
Rodions Kurucs,,1,3.5,0.3,0,0,1.3,7,,,,,
MarShon Brooks,,0.6,1.6,0.9,0.5,0,0.6,6.9,,,,,
Alfonzo McKinnie,,1.1,4.1,0.5,0.2,0.2,0.4,6.8,,,,,
Gorgui Dieng,,0.2,5,0.9,0.5,0.5,0.8,6.8,,,,,
Allen Crabbe,,1.4,4,1.3,0.3,0.5,1.2,6.8,,,,,
Juancho Hernangomez,,1.3,4,0.6,0.6,0.6,0.6,6.8,,,,,
Nerlens Noel,,0,5.8,0.4,1.1,0.9,0.1,6.8,,,,,
Pau Gasol,,0.4,6.1,3.3,0.1,1,0.8,6.8,,,,,
Raymond Felton,,0,2.3,1.3,0.3,0.3,1,6.7,,,,,
Austin Rivers,,1.2,2.1,1.8,0.6,0.5,1.3,6.5,,,,,
Elie Okobo,,0.9,1.6,2.4,0.1,0,1.3,6.5,,,,,
Emmanuel Mudiay,,0.3,2.8,2.3,1.3,0.3,1.3,6.5,,,,,
Mo Bamba,,0.5,6,1.3,0.3,1.6,0.5,6.5,,,,,
Aron Baynes,,1,3.7,1,0,0.3,0.3,6.4,,,,,
John Henson,,0.8,6.2,0.8,0.6,0.9,0.9,6.4,,,,,
Malik Beasley,,0.9,2.2,0.9,0.3,0.1,0.9,6.4,,,,,
JR Smith,,1,1.5,1.3,1.3,0.2,0.7,6.3,,,,,
Sam Dekker,,0.6,3.7,1,1.2,0,0.6,6.3,,,,,
Ed Davis,,0,8.1,0.8,0.5,0.4,0.8,6.3,,,,,
Stanley Johnson,,1,4.1,1.5,0.6,0.3,2.1,6.3,,,,,
Alex Poythress,,0.6,4.4,1,0.3,0.4,0.7,6.1,,,,,
Omari Spellman,,0.9,4,1.1,0.4,0.3,0.7,6.1,,,,,
Patrick Beverley,,1,4.7,4.3,0.7,0.2,1.3,6.1,,,,,
Doug McDermott,,1.3,1.1,0.9,0.4,0,0.3,6.1,,,,,
Anthony Tolliver,,1.5,2.8,0.9,0.5,0.7,0.7,6,,,,,
Chris Boucher,,0,2,0,0,1,0,6,,,,,
Daniel Theis,,0.4,3.4,0.8,0,0.2,0.8,6,,,,,
Pat Connaughton,,1.1,4.4,0.6,0.1,0.3,0.4,6,,,,,
Cory Joseph,,0.7,2.9,3.3,1.1,0.3,0.9,5.9,,,,,
Kevon Looney,,0,5.1,1.4,0.3,0.6,0.7,5.9,,,,,
Quinn Cook,,1,1.6,0.8,0.3,0,0.8,5.9,,,,,
Damian Jones,,0,2.5,1.1,0.6,1,0.5,5.8,,,,,
Jake Layman,,0.8,2.5,0.3,0.5,0.4,0.5,5.8,,,,,
Kevin Huerter,,1.1,3.5,1.6,0.7,0.3,0.7,5.8,,,,,
Ryan Arcidiacono,,1.3,1.5,4.9,0.9,0.1,0.7,5.8,,,,,
Tyus Jones,,1,1.5,3.3,1.2,0.1,0.5,5.8,,,,,
Ian Clark,,1,1.3,1.1,0.3,0.1,0.8,5.8,,,,,
Chandler Parsons,,1,1.3,0.7,0.3,0.3,0.7,5.7,,,,,
Luke Kennard,,0.3,1.7,1,0.3,0.3,0.3,5.7,,,,,
Yogi Ferrell,,0.6,1.6,0.9,0.6,0.1,0.4,5.7,,,,,
Cristiano Felicio,,0,6,0.8,0.3,0.3,1,5.6,,,,,
Hamidou Diallo,,0.1,2.4,0.4,1,0.4,0.4,5.6,,,,,
Kentavious Caldwell-Pope,,0.5,1.8,0.3,0.5,0.1,0.7,5.6,,,,,
Omri Casspi,,0.4,2.4,1.4,0.6,0,0.3,5.6,,,,,
Jared Dudley,,1.1,3,2.3,0.8,0.2,0.8,5.5,,,,,
Delon Wright,,0.3,1.8,0.7,0.2,0.2,0,5.5,,,,,
Shaun Livingston,,0,3.5,1,0.8,0,0.8,5.5,,,,,
Thon Maker,,1,4,0.5,0,0.8,0.5,5.5,,,,,
Ryan Anderson,,0.7,3.7,1.5,0.2,0,1,5.4,,,,,
Glenn Robinson III,,0.4,1.8,0,0.4,0.4,0.5,5.4,,,,,
Davis Bertans,,1.3,2.3,1.2,0.2,0.2,0.4,5.3,,,,,
Mitchell Robinson,,0,4.1,0.4,0.7,0.9,0.2,5.3,,,,,
Chandler Hutchison,,0.2,3.5,0.6,0.5,0.3,0.7,5.3,,,,,
Jerian Grant,,0.6,2.4,3.1,1.4,0.1,1.5,5.2,,,,,
Amir Johnson,,0.1,3.5,1.5,0.3,0.3,1.3,5.2,,,,,
Kyle Korver,,0.9,1.2,1.4,0.2,0,1.2,5.1,,,,,
Channing Frye,,1,4,1,0,0,0,5,,,,,
Grayson Allen,,0.8,0.3,0.4,0,0,0.3,5,,,,,
Jahlil Okafor,,0,3,0.2,0,0,1,5,,,,,
Kosta Koufos,,0,4.5,1,0.8,0.5,0,5,,,,,
Luc Mbah a Moute,,0.5,1.8,0.5,0.3,0.3,0.5,5,,,,,
Marcus Smart,,0.5,2.6,4,1.3,0.7,1.5,5,,,,,
Michael Carter-Williams,,0.3,1.4,2,1,0.6,1.1,5,,,,,
Miles Plumlee,,0,2.6,1.2,0.4,0,0.8,5,,,,,
Norman Powell,,0.8,2,0.9,0.5,0.1,0.7,5,,,,,
Wes Iwundu,,0,2.8,0.2,0.2,0.2,0.7,5,,,,,
CJ Miles,,0.9,2.1,0.8,0.3,0.5,0.5,4.9,,,,,
Frank Jackson,,0.7,0.6,0.7,0.3,0,0.1,4.9,,,,,
Seth Curry,,1.1,1.5,0.9,0.2,0.1,0.5,4.8,,,,,
Royce O'Neale,,0.4,2.6,1.2,0.4,0,1,4.8,,,,,
Kyle O'Quinn,,0,2.8,1.2,0.2,0.7,0.7,4.7,,,,,
Georges Niang,,1,1.9,0.4,0.3,0.1,0.3,4.5,,,,,
Kyle Anderson,,0,5.6,2.3,1.4,0.3,1.4,4.4,,,,,
Zaza Pachulia,,0,3.9,1.9,0.8,0.3,0.8,4.4,,,,,
Cheick Diallo,,0,3.6,0.6,0.4,0.4,0.6,4.4,,,,,
Wesley Johnson,,1,2,0.3,0.8,0.5,1.5,4.3,,,,,
Jalen Brunson,,0.6,1.2,1.2,0.3,0,0.5,4.2,,,,,
Ian Mahinmi,,0,3.9,0.4,0.6,0.4,0.7,4.1,,,,,
Jason Smith,,0.3,3.6,1,0.1,0.6,0.5,4.1,,,,,
Meyers Leonard,,0.5,3.6,1,0.4,0,1,4.1,,,,,
Mike Scott,,0.9,2.5,1.3,0.4,0,0.3,4.1,,,,,
Darius Miller,,1.2,0.7,1.3,0.2,0,0.8,4,,,,,
Dwayne Bacon,,0.5,0.8,0.8,0.3,0,0,4,,,,,
Jared Terrell,,1,1,1,2,1,2,4,,,,,
Torrey Craig,,0.3,3.4,0.6,0.7,0.3,0.8,4,,,,,
Tyler Dorsey,,0.3,1,0.7,0.2,0,0,4,,,,,
Lance Thomas,,0.5,2.2,0.5,0.6,0.3,0.5,3.9,,,,,
Dante Cunningham,,0.6,4.2,1.3,0.6,0.6,0.3,3.9,,,,,
Johnathan Williams,,0,3.5,0.7,0.2,0.5,0.3,3.8,,,,,
Milos Teodosic,,1,1.8,2.8,0.2,0.2,1.3,3.8,,,,,
Jarell Martin,,0,2.6,0.6,0,0,0.6,3.8,,,,,
Maurice Harkless,,0.6,4.8,1,0.4,1.2,0.4,3.8,,,,,
T.J. McConnell,,0,1.7,2.7,0.3,0.2,0.9,3.8,,,,,
Harry Giles III,,0,2.8,0.6,0.5,0.3,1.4,3.8,,,,,
Tyson Chandler,,0,5.6,0.9,0.3,0.1,1,3.7,,,,,
Tomas Satoransky,,0.3,1.8,2.2,0.3,0.2,0.4,3.7,,,,,
Gary Clark,,1,2.6,0.3,0.5,0.8,0.1,3.6,,,,,
Marcin Gortat,,0,5.5,1.5,0,0.8,1.1,3.6,,,,,
Bruce Brown,,0.1,1.4,0.3,0.6,0.3,0.4,3.6,,,,,
De'Anthony Melton,,0.5,1,0.5,1.5,0.5,1,3.5,,,,,
Devonte' Graham,,0.5,1,1.5,0,0,0.5,3.5,,,,,
Ivica Zubac,,0,4.3,0.5,0.3,0.3,0.8,3.5,,,,,
James Nunnally,,0.5,0.8,0.8,0.3,0,0.3,3.5,,,,,
Troy Daniels,,0.8,1,1,1,0,0.8,3.5,,,,,
Jamal Crawford,,0.6,0.4,1,0.2,0,0.4,3.3,,,,,
Jon Leuer,,0,3.3,0,0.3,0,0,3.3,,,,,
Terrance Ferguson,,0.6,1.3,0.6,0.7,0.1,1,3.3,,,,,
Tim Frazier,,0.6,1.7,2.4,0.3,0.1,1,3.3,,,,,
Ante Zizic,,0,1.9,0.5,0.1,0,0.4,3.3,,,,,
Thomas Bryant,,0,1.8,0.3,0,0,0.5,3.3,,,,,
Troy Brown Jr.,,0.4,1.8,0,0.4,0,0.2,3.2,,,,,
Caleb Swanigan,,0.2,5.3,0.3,0.2,0,1.3,3.2,,,,,
Brad Wanamaker,,0,0.5,0,0,0,0.5,3,,,,,
Duncan Robinson,,1,4,0,1,0,0,3,,,,,
