NAME,POS,3PM,REB,AST,STL,BLK,TO,PTS,,,,,,,,,,,,,,,,,,,,,
Harrison Barnes,,1.9,4.8,1.2,0.8,0.2,1.5,16.8,,,,,,,,,,,,,,,,,,,,,
Gary Harris,,1.7,3.4,3,1.3,0.5,1.3,16.8,,,,,,,,,,,,,,,,,,,,,
D'Angelo Russell,,2.4,3.8,5.4,1.2,0.3,2.4,16.8,,,,,,,,,,,,,,,,,,,,,
Nikola Jokic,,1.2,10.1,7.3,1.4,0.7,2.9,16.6,,,,,,,,,,,,,,,,,,,,,
Andrew Wiggins,,2.1,3.9,2.4,1.5,0.5,1.7,16.5,,,,,,,,,,,,,,,,,,,,,
Deandre Ayton,,0,10.3,2.8,0.6,0.6,2.1,16.5,,,,,,,,,,,,,,,,,,,,,
Will Barton,,2.5,5,3,0.5,1,1.5,16.5,,,,,,,,,,,,,,,,,,,,,
Goran Dragic,,1.7,3.3,4.7,0.6,0.3,2.5,16.3,,,,,,,,,,,,,,,,,,,,,
Wesley Matthews,,2.6,2.6,2.4,0.9,0.2,1.2,16.2,,,,,,,,,,,,,,,,,,,,,
Kyle Kuzma,,1.5,4.8,1.2,0.6,0.6,1.4,16.2,,,,,,,,,,,,,,,,,,,,,
E'Twaun Moore,,1.7,2.4,2.3,0.5,0.3,1.3,16.2,,,,,,,,,,,,,,,,,,,,,
Evan Fournier,,1.9,2.8,4.3,1.3,0.2,1.8,16.1,,,,,,,,,,,,,,,,,,,,,
Jayson Tatum,,1.7,6.7,2,0.9,0.5,1.6,15.9,,,,,,,,,,,,,,,,,,,,,
Montrezl Harrell,,0,7.2,1.5,1.1,1.8,1.6,15.9,,,,,,,,,,,,,,,,,,,,,
Jordan Clarkson,,1.4,3.1,1.9,0.6,0.2,1.7,15.9,,,,,,,,,,,,,,,,,,,,,
Brandon Ingram,,0.7,4.5,2.2,0.6,0.7,2.4,15.7,,,,,,,,,,,,,,,,,,,,,
Steven Adams,,0,10.3,1.8,1.5,0.9,1.4,15.7,,,,,,,,,,,,,,,,,,,,,
Ben Simmons,,0,8.9,7.9,1.3,0.8,3.4,15.7,,,,,,,,,,,,,,,,,,,,,
Bojan Bogdanovic,,2.2,3.6,1.3,0.9,0,1.7,15.6,,,,,,,,,,,,,,,,,,,,,
Jabari Parker,,0.9,7.1,2.3,0.6,0.4,2.7,15.6,,,,,,,,,,,,,,,,,,,,,
Trae Young,,1.3,2.9,7.8,0.6,0.3,3.8,15.6,,,,,,,,,,,,,,,,,,,,,
Reggie Jackson,,1.9,2.7,4,0.6,0.1,2.1,15.5,,,,,,,,,,,,,,,,,,,,,
Kyle Lowry,,2.2,4.6,10.5,1.4,0.3,2.8,15.4,,,,,,,,,,,,,,,,,,,,,
Willie Cauley-Stein,,0.1,8.6,2.3,1.1,0.4,1.3,15.4,,,,,,,,,,,,,,,,,,,,,
Jusuf Nurkic,,0.1,10.7,2.1,0.7,1.2,2.3,15.3,,,,,,,,,,,,,,,,,,,,,
Spencer Dinwiddie,,1.9,2.6,5,0.7,0.3,2.1,15.1,,,,,,,,,,,,,,,,,,,,,
Taurean Prince,,2.4,4.4,2.6,1.3,0.3,2.8,15.1,,,,,,,,,,,,,,,,,,,,,
Eric Bledsoe,,1.7,4.6,5.9,1.2,0.7,2.1,15.1,,,,,,,,,,,,,,,,,,,,,
Rudy Gobert,,0,12.6,1.3,1.1,1.9,1.6,14.9,,,,,,,,,,,,,,,,,,,,,
Enes Kanter,,0.2,11.3,2.2,0.5,0.6,2.3,14.9,,,,,,,,,,,,,,,,,,,,,
Rudy Gay,,1.3,7.8,2,0.7,0.6,1.6,14.8,,,,,,,,,,,,,,,,,,,,,
Domantas Sabonis,,0.2,9.7,3.1,0.5,0.6,2.2,14.4,,,,,,,,,,,,,,,,,,,,,
Malcolm Brogdon,,1.5,4.1,3.2,0.5,0.2,1.6,14.4,,,,,,,,,,,,,,,,,,,,,
Jeremy Lamb,,1.4,5.1,1.8,1.2,0.4,1,14.3,,,,,,,,,,,,,,,,,,,,,
Pascal Siakam,,0.6,6.8,2.3,1.2,0.6,1.5,14.2,,,,,,,,,,,,,,,,,,,,,
Dennis Smith Jr.,,1.5,2.7,3.9,1.1,0.4,3.1,14.1,,,,,,,,,,,,,,,,,,,,,
Hassan Whiteside,,0.1,14.6,0.6,0.5,3.1,1.9,14,,,,,,,,,,,,,,,,,,,,,
Eric Gordon,,2,2.6,2,0.4,0.5,1.2,13.9,,,,,,,,,,,,,,,,,,,,,
Collin Sexton,,0.7,2.7,2.4,0.5,0.2,2.1,13.7,,,,,,,,,,,,,,,,,,,,,
Marcus Morris,,2.1,6.5,1.3,0.6,0.2,1.9,13.6,,,,,,,,,,,,,,,,,,,,,
Bogdan Bogdanovic,,2.1,2.9,2.9,0.4,0,1.1,13.6,,,,,,,,,,,,,,,,,,,,,
Carmelo Anthony,,2.1,5.4,0.5,0.4,0.7,0.8,13.4,,,,,,,,,,,,,,,,,,,,,
Rodney Hood,,1.2,2.7,2.1,0.8,0.1,0.7,13.4,,,,,,,,,,,,,,,,,,,,,
Terrence Ross,,2.3,2.8,1.7,0.8,0.5,1.5,13.3,,,,,,,,,,,,,,,,,,,,,
Joe Harris,,2.4,3.5,2.3,0.5,0.1,1.5,13.3,,,,,,,,,,,,,,,,,,,,,
JaVale McGee,,0.1,6.4,1,1,2.6,1.5,13.3,,,,,,,,,,,,,,,,,,,,,
Trey Burke,,1.2,2.3,3.5,0.6,0.1,1.4,13.2,,,,,,,,,,,,,,,,,,,,,
Paul Millsap,,0.8,6.7,1.8,1.3,1.2,1.6,13.2,,,,,,,,,,,,,,,,,,,,,
Dwyane Wade,,1.4,3.8,2.7,0.5,0.5,2.6,13.1,,,,,,,,,,,,,,,,,,,,,
Joe Ingles,,2.4,4.1,4.5,1.4,0.3,2.6,13,,,,,,,,,,,,,,,,,,,,,
John Collins,,0.5,4.5,2.8,0,0.3,2.5,13,,,,,,,,,,,,,,,,,,,,,
Kent Bazemore,,1.3,4.1,1.8,1.6,0.9,1.9,13,,,,,,,,,,,,,,,,,,,,,
Jaren Jackson Jr.,,0.6,4.5,1.4,1.1,1.9,1.6,12.9,,,,,,,,,,,,,,,,,,,,,
Dwight Howard,,0,9.2,0.4,0.8,0.4,1.8,12.8,,,,,,,,,,,,,,,,,,,,,
Jonas Valanciunas,,0.4,7.6,1.2,0.6,0.9,1.5,12.8,,,,,,,,,,,,,,,,,,,,,
Rodney McGruder,,1.8,5.1,3.3,0.8,0.2,1.6,12.7,,,,,,,,,,,,,,,,,,,,,
Justin Holiday,,3.1,4.2,2.2,1.6,0.4,1.1,12.7,,,,,,,,,,,,,,,,,,,,,
Bryn Forbes,,2.3,1.8,2.2,0.8,0,1.1,12.7,,,,,,,,,,,,,,,,,,,,,
Jeff Teague,,0.8,2.3,7.8,1.2,0.2,2.2,12.6,,,,,,,,,,,,,,,,,,,,,
George Hill,,1.2,1.9,3,1,0.1,1.6,12.6,,,,,,,,,,,,,,,,,,,,,
Jae Crowder,,1.9,5.1,1.5,0.8,0.5,0.6,12.4,,,,,,,,,,,,,,,,,,,,,
Jarrett Allen,,0.1,8.3,1.6,0.6,1.7,1,12.2,,,,,,,,,,,,,,,,,,,,,
Kelly Oubre Jr.,,1.2,4.4,0.8,0.8,0.6,1.1,12.1,,,,,,,,,,,,,,,,,,,,,
Ricky Rubio,,1.4,3.2,6.5,1.7,0.3,3.1,12.1,,,,,,,,,,,,,,,,,,,,,
Cedi Osman,,1.7,5.1,2.5,0.7,0.3,2.3,12,,,,,,,,,,,,,,,,,,,,,
Marvin Bagley III,,0.4,6.1,0.8,0.5,1.3,2.1,12,,,,,,,,,,,,,,,,,,,,,
Robert Covington,,2.6,5.1,1.1,2.2,1.4,1.4,11.8,,,,,,,,,,,,,,,,,,,,,
Al Horford,,1.2,6.3,3.6,0.7,1.8,1.4,11.7,,,,,,,,,,,,,,,,,,,,,
Nemanja Bjelica,,1.8,5.7,2.2,1.2,0.7,1.4,11.7,,,,,,,,,,,,,,,,,,,,,
Allonzo Trier,,0.9,2.9,1.7,0.6,0.5,1.9,11.5,,,,,,,,,,,,,,,,,,,,,
Brook Lopez,,2.7,3.6,1.1,0.4,1.8,0.9,11.5,,,,,,,,,,,,,,,,,,,,,
Jerami Grant,,1.1,5.4,1.3,0.9,1,1,11.5,,,,,,,,,,,,,,,,,,,,,
Tyler Johnson,,1.4,3.3,2.4,1,0.6,1.6,11.4,,,,,,,,,,,,,,,,,,,,,
Jeremy Lin,,1.2,2.1,3.2,0.9,0.1,1.9,11.4,,,,,,,,,,,,,,,,,,,,,
DeAndre Jordan,,0,13.6,2.4,0.6,1.1,2.5,11.2,,,,,,,,,,,,,,,,,,,,,
Garrett Temple,,1.7,3.4,1.2,1.2,0.2,1.1,11.2,,,,,,,,,,,,,,,,,,,,,
Wendell Carter Jr.,,0.3,7.1,2.3,0.6,1.8,1.7,11.2,,,,,,,,,,,,,,,,,,,,,
Taj Gibson,,0.4,6.8,1.5,1.1,0.7,0.9,11.1,,,,,,,,,,,,,,,,,,,,,
Otto Porter Jr.,,1.3,5.1,1.9,1.4,0.6,0.8,11,,,,,,,,,,,,,,,,,,,,,
Myles Turner,,0.3,5.4,1.4,0.4,2.6,1.7,10.9,,,,,,,,,,,,,,,,,,,,,
Malik Monk,,1.8,1.9,2.3,0.6,0.2,1.3,10.9,,,,,,,,,,,,,,,,,,,,,
Antonio Blakeney,,1.3,2.2,0.6,0.4,0.2,1.1,10.9,,,,,,,,,,,,,,,,,,,,,
Jaylen Brown,,1.1,4.1,1.3,0.6,0.6,1.3,10.8,,,,,,,,,,,,,,,,,,,,,
Tristan Thompson,,0,10.9,1.8,0.8,0.3,1.5,10.8,,,,,,,,,,,,,,,,,,,,,
Jeff Green,,0.9,5.4,1.2,0.7,0.6,1.4,10.8,,,,,,,,,,,,,,,,,,,,,
Reggie Bullock,,1.9,2.3,2.5,0.8,0.2,0.8,10.7,,,,,,,,,,,,,,,,,,,,,
Trey Lyles,,0.7,4.5,1.6,0.5,0.3,1.7,10.7,,,,,,,,,,,,,,,,,,,,,
Emmanuel Mudiay,,0.8,3.1,2.2,1.1,0.5,1.6,10.6,,,,,,,,,,,,,,,,,,,,,
Dario Saric,,1.6,6,1.9,0.5,0.2,1.8,10.6,,,,,,,,,,,,,,,,,,,,,
Derrick Favors,,0.3,6.9,0.9,0.8,1.3,1.1,10.6,,,,,,,,,,,,,,,,,,,,,
Tyreke Evans,,1.4,2.9,2.6,1.1,0.4,1.5,10.6,,,,,,,,,,,,,,,,,,,,,
