Name,POS,3PM,REB,AST,STL,BLK,TO,PTS
Gary Harris,SG,2.2,2.7,2.8,1.7,0.2,1.7,16.7
Jonas Valanciunas,C,0.7,9.6,1.1,0.4,1.1,1.6,14.2
Domantas Sabonis,PF,0.6,7.2,1.9,0.6,0.5,1.8,11.3
Dejounte Murray,PG,0.5,6.2,1.9,0.7,0.2,1.5,18
Rajon Rondo,PG,0.6,3.8,6,1.1,0.1,2.1,7.1
Kyle Kuzma,PF,2.5,6.5,1.9,0.7,0.5,1.9,18.4
Jabari Parker,PF,0.9,3.8,4.8,1.1,0.5,1.9,14
Bojan Bogdanovic,SF,1.6,5.3,1.4,0.8,0.4,1.5,15.3
Thaddeus Young,PF,0.5,5.8,1.6,1.4,0.4,1.2,10.6
Markieff Morris,PF,1.2,5.3,1.9,0.9,0.5,1.8,13
Dennis Smith Jr.,PG,2,4.2,5.2,1.2,0.3,3.1,19.2
Dewayne Dedmon,C,0.5,8,1.1,0.6,0.9,1.2,8.7
Markelle Fultz,PG,0.4,3.8,4.2,1.4,0.5,2,13.1
Kristaps Porzingis,C,1.5,6.3,1.2,0.7,1.9,1.7,17.7
DeMarcus Cousins,C,1.4,7.5,2.1,1.1,1.1,3.2,12.4
De'Aaron Fox,PG,1.1,3.4,5.9,1.2,0.3,2.9,15.7
John Collins,PF,0.3,8.5,1.7,0.8,1.4,1.9,16.3
Jayson Tatum,SF,1.9,6.2,1.7,1.1,0.8,1.5,17.7
Jaren Jackson Jr.,PF,0.3,7.4,1.4,0.9,1.5,1.8,11.5
Josh Jackson,SF,1.3,5.7,2.2,1.4,0.7,2.1,14.1
Derrick Favors,PF,0.1,7.9,1.5,0.9,1.2,1.4,13.5
Trae Young,PG,2,3.3,7.1,1,0.3,3.7,15.7
Bobby Portis,PF,1,6.8,1.6,0.6,0.3,1.3,12.7
Reggie Jackson,PG,1.4,3.1,6.2,0.7,0.1,2.7,17.6
Jaylen Brown,SF,1.3,4.3,1.4,0.8,0.3,1.5,11.8
Mohamed Bamba,C,0.1,6.8,1.1,0.5,1.7,1.2,9.4
Darren Collison,PG,1.2,2.3,4.6,1.1,0.2,1.4,11.9
Zach Randolph,PF,0.5,7.4,2,0.6,0.2,1.7,14.5
Robert Covington,SF,2.6,5.6,2,1.8,0.9,1.6,16.4
Joe Ingles,SF,1.8,3.3,3.4,1,0.2,1.5,8.5
Wendell Carter Jr.,PF,0.1,8.7,1.5,0.7,1.4,1.7,12.6
Terry Rozier,PG,1.6,4.5,2.7,0.9,0.2,1,9.9
Rondae Hollis-Jefferson,SF,0.2,7.5,2.6,1.2,0.8,1.9,13.5
Taurean Prince ,SF,2,4.8,2.5,1.1,0.6,2.3,13.5
Collin Sexton,PG,0.3,3.1,4.6,1.1,0.4,2.8,14
Kelly Olynyk,C,1.3,5.6,2.5,0.8,0.5,1.8,11.4
Avery Bradley,SG,1.6,3.9,1.8,1,0.2,1.4,12.8
Patrick Beverly,PG,1.4,4.1,4.8,1.2,0.3,1.2,8.2
James Johnson,SF,1,4.8,3.6,1,0.9,2,11.2
DeMarre Carroll,SF,2,6,1.8,1,0.4,1.3,12.7
Andrew Wiggins,SF,0.9,5.1,3.9,1.1,1.1,1.4,12.1
Trey Burke,PG,1.4,2.5,5.7,0.8,0.1,1.6,15.8
JaMychal Green,PF,0.7,7.6,1.2,0.6,0.4,1.3,9.5
Evan Fournier,SG,2,3,2.8,0.9,0.2,1.7,16.4
Malcolm Brogdon,PG,1.1,2.9,4,1.1,0.2,1.5,10.7
Marquese Chriss,PF,0.7,4.1,0.8,0.6,0.8,1.2,6.7
Danilo Gallinari,SF,1.8,4.9,2.1,0.6,0.3,1.3,17.1
Brook Lopez,C,2.4,5,1.9,0.5,1.5,1.8,14.5
Spencer Dinwiddie,PG,1.2,2.7,4.8,0.7,0.3,1.3,9.6
JJ Redick,SG,2.4,2.2,2.2,0.5,0.1,1.3,14.6
Montrezl Harrell,C,1.5,4.4,2.1,1,0.4,2.1,18
Larry Nance Jr.,PF,0.1,7.2,1.4,1.4,0.6,0.9,8.9
Kentavious Caldwell-Pope,SG,1.8,3.9,2,1.2,0.2,1.1,12
Taj Gibson,PF,0.2,7,1.2,0.7,0.8,1.1,11.3
Pau Gasol,C,0.5,7.6,2.8,0.3,1.1,1.4,10.6
Bogdan Bogdanovic,SF,0.7,6.9,1.9,0.6,0.4,1.3,9.5
Dwight Powell,C,1.8,3.8,3.5,1,0.3,1,13.1
Jeremy Lin,PG,1.4,3.5,4.4,1,0.5,2.2,13.6
Austin Rivers,SG,1.4,1.7,2.4,0.7,0.2,1.2,10.1
Marcus Smart,SG,1.2,3.2,4.1,1.2,0.4,2,9
Jarrett Allen,C,0.1,8.7,1,0.6,1.8,1.7,11.8
Kelly Oubre Jr.,SF,1.2,4.7,1.5,1.2,0.5,0.9,11.9
Al-Farouq Aminu,PF,1.3,6.1,1.2,0.9,0.5,1.1,7.9
Kent Bazemore,SG,1.6,4.1,3.2,1.5,0.7,2.3,13
Caris LeVert,SF,1.3,7.3,1.3,1.1,0.6,2.1,10
Kyle Anderson,SF,1.2,3.7,4.2,1.3,0.8,1.2,12.4
Delon Wright,PG,0.9,2.5,3,1.3,0.4,0.9,7.3
Michael Beasley,PF,0.5,5.4,2.8,1.4,0.9,2.3,8.3
Buddy Hield,SG,2.4,4.3,2.1,1,0.3,1.7,14.6
D.J. Augustin,PG,2,2.8,5.1,0.9,0,2.2,13.6
Fred VanFleet,PG,1.6,2.6,3.4,1,0.3,1.1,10.3
Carmelo Anthony,SF,1.2,3.6,1.3,0.4,0.3,1,11.3
Jonathon Simmons,SF,2.1,4.9,2.6,0.7,0.3,2,15.6
Jordon Clarkson,SG,1.6,3.3,3,0.9,0.1,1.9,16
Trey Lyles,PF,1.1,4.6,1.2,0.4,0.4,0.8,9.3
Serge Ibaka,PF,1.6,6.1,0.9,0.5,1,1.2,11.9
J.J. Barea,PG,1.6,2.7,5.7,0.5,0,1.9,11.3
Wayne Ellington,SG,2,2,0.8,0.5,0.1,0.5,8.2
Tyler Johnson,SG,1.4,3.7,2.7,1,0.5,1.2,12.6
