Name,POS,3PM,REB,AST,STL,BLK,TO,PTS,,,,
Derrick Rose,,0.5,3.8,5,0.8,0.3,1.3,14.8,,,,
Marc Gasol,,2,8.7,4,1.3,0,1,14.7,,,,
Bryn Forbes,,3.3,2.7,2,1,0,1,14.7,,,,
Steven Adams,,0,14.3,1.3,1.7,1,1.7,14.7,,,,
Marvin Bagley III,,0.3,7.3,1.5,1,1.5,2.3,14.5,,,,
Buddy Hield,,1.8,4.5,1.8,0.3,0.5,2.5,14.5,,,,
Joe Harris,,3,4,3,0.3,0.3,2.3,14.3,,,,
Dennis Schroder,,1.3,4.7,7.3,1.3,0.3,3,14.3,,,,
Deandre Ayton,,0,10.7,4,0.7,0.3,1.3,14.3,,,,
Klay Thompson,,0.8,4.5,1.3,0.3,1,1.8,14.3,,,,
Bojan Bogdanovic,,2.5,4.5,0,0,0,2,14.3,,,,
Robert Covington,,3,5.8,1.3,1.8,1,1.8,14,,,,
Brandon Ingram,,0,4,0.5,1.5,1,2,14,,,,
Nik Stauskas,,3,3.7,2.7,0.7,0.3,0.7,14,,,,
Jamal Murray,,1.8,2.8,3.5,1,0.3,1,13.8,,,,
Elfrid Payton,,0.7,7.7,7.3,1.3,0.3,1.7,13.7,,,,
Malik Monk,,2.8,2,2,0.5,1,0.8,13.5,,,,
Jarrett Allen,,0.7,8,0,0,3,2.7,13.3,,,,
Kent Bazemore,,2,6.3,1.7,1.7,1,2,13.3,,,,
Trey Burke,,1,4,5.3,1,0,1.5,13.3,,,,
Iman Shumpert,,2.5,2.5,1.8,1.3,0.5,1,13,,,,
Dwyane Wade,,0.7,7.3,3,0.7,0.7,3.3,13,,,,
Kelly Oubre Jr.,,1.3,6,0,0.3,0.7,1,13,,,,
Dennis Smith Jr.,,1,2,4.7,1,0,2,13,,,,
Rajon Rondo,,1,5.5,10.5,1.5,0,2.5,13,,,,
George Hill,,1.3,1,4,0.3,0,1,12.7,,,,
Bobby Portis,,1,11,2.3,0.7,1,1.3,12.7,,,,
Myles Turner,,0.5,5.8,1,0.5,1.8,1,12.3,,,,
Damyean Dotson,,3,5,1,2,0,0,12,,,,
Otto Porter Jr.,,0.7,7.3,0,2,1.7,0.3,12,,,,
Malcolm Brogdon,,2.3,3.7,5.3,1.3,0.3,2.3,12,,,,
Omari Spellman,,2.5,2,0.5,0.5,0.5,1,12,,,,
Ben Simmons,,0,9.3,7.7,1.7,1.3,2,12,,,,
Marcus Morris,,1.5,6.3,0.8,0.5,0.3,1.3,11.8,,,,
D'Angelo Russell,,1.7,4.3,6,0.7,0.7,3,11.7,,,,
Brook Lopez,,2,3.3,2,0.3,1.3,0.7,11.7,,,,
Gordon Hayward,,1.7,5.3,1.7,2,0,1,11.7,,,,
Rodney Hood,,0.3,2,2,0.7,0,0.7,11.7,,,,
Lonzo Ball,,2.7,5.3,3.7,0.7,0,0.7,11.7,,,,
Frank Mason,,1.3,2,4.3,0.7,0,1,11.7,,,,
Al Horford,,1.5,7.5,4.5,0.5,1.8,2,11.5,,,,
Jeremy Lamb,,1.3,4.5,1.5,1.3,1,0.5,11.5,,,,
Dario Saric,,1.8,8.3,3.5,0.8,0.5,2.3,11.5,,,,
Fred VanVleet,,1,3,5.3,0.3,0,1.3,11.5,,,,
Danny Green,,3,4.8,1.3,1.3,1.3,0.5,11.5,,,,
Domantas Sabonis,,0,11.7,1.7,0.3,0.3,2.3,11.3,,,,
Derrick Jones Jr.,,1,3.3,1.3,0.7,0.7,1.3,11.3,,,,
Paul Millsap,,0.3,9.3,0.8,1.5,1.3,1.5,11.3,,,,
Jrue Holiday,,0,4.7,9,2.3,0,3,11,,,,
Nemanja Bjelica,,1.3,4,2.5,1,0.3,1,11,,,,
Jonas Valanciunas,,0,8.5,1.5,0.5,0.8,0.8,10.8,,,,
Dorian Finney-Smith,,2,5,1.7,1,1,1.7,10.7,,,,
Trevor Ariza,,2.3,5.3,3.3,0.3,0.3,1.3,10.7,,,,
Alex Len,,0.3,6.3,2.7,0,1.7,2,10.7,,,,
Hassan Whiteside,,0,14.3,0,0.3,1.7,1.3,10.7,,,,
Gorgui Dieng,,0.3,5.5,1,0.8,0.8,1,10.5,,,,
Allonzo Trier,,0.8,2.3,1.3,0.5,0.5,1.8,10.5,,,,
Al-Farouq Aminu,,1.7,9,0.3,0.7,0.3,1,10.3,,,,
Jeff Green,,0.7,4,1,0.7,1,1.3,10.3,,,,
Derrick Favors,,0,7,0.7,0.7,1,2.7,10.3,,,,
Evan Turner,,0,4.7,4.7,1,0,2.3,10.3,,,,
Tyreke Evans,,0.8,3.8,3.3,1.3,0.5,1.5,10.3,,,,
Taj Gibson,,0.3,8,1,0.8,1,1.8,10.3,,,,
Nicolas Batum,,2.3,5.5,3.3,1.3,0.5,1.8,10.3,,,,
Isaiah Canaan,,2,3.7,3.7,1,0,2,10,,,,
Dante Exum,,0.7,3,1.7,0,0.3,1,10,,,,
J.J. Barea,,1.3,2.7,8.3,1,0,0.7,10,,,,
Terrence Ross,,1,2.5,1.5,1.3,1,0.8,9.8,,,,
Yogi Ferrell,,1,2.3,0.8,0.5,0.3,0.8,9.8,,,,
Montrezl Harrell,,0,6.3,1.5,0.8,2.3,2,9.5,,,,
Miles Plumlee,,0,3,1,0.5,0,1,9.5,,,,
Markelle Fultz,,0.5,4.3,3.8,1,0.3,1.8,9.5,,,,
Justin Jackson,,1,3.5,2,0.8,0.3,0.5,9.5,,,,
Doug McDermott,,2.3,1.8,0.8,0.5,0,0,9.5,,,,
Antonio Blakeney,,0.7,3,0.7,0.3,0,0.3,9.3,,,,
PJ Tucker,,2.3,4.7,1.7,0.7,0.7,0.3,9.3,,,,
Kevin Knox,,1.3,2,0,0.7,0.3,0.7,9.3,,,,
Tristan Thompson,,0,10.7,1.3,0.3,0.7,2,9.3,,,,
Damian Jones,,0,3.3,1.3,0.5,1.8,0.8,9.3,,,,
Jaylen Brown,,1.3,4.8,1.8,0.3,0.3,1.5,9.3,,,,
Mario Hezonja,,1.3,2.5,1.3,1.3,0,1.3,9.3,,,,
Patty Mills,,1.3,2.3,1.7,0.3,0.3,0.7,9,,,,
Thaddeus Young,,0,4.3,1.3,1,0.5,1.3,9,,,,
Kris Dunn,,1,4,7,0,0,4,9,,,,
Josh Okogie,,1,4.5,1,2,0,2.5,9,,,,
Raymond Felton,,0,3.5,2,0,0.5,1.5,9,,,,
DeAndre' Bembry,,1.3,3.3,2,1.7,0.3,2.7,9,,,,
Larry Nance Jr.,,0,4,4,0,0,1,9,,,,
